Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5562570582102150784,105.4092703,-42.5179256,10.572,0.822,3.482,4.5296,12.4670,29.18,31.51,0.44,6.756,G1.9,0.006379,0.05,1.002,nan,Gaia DR3
Gaia DR3 5504741213984785152,105.8322930,-51.4136180,18.602,3.583,3.102,4.4467,12.4993,29.64,nan,nan,6.426,M5.4,0.007853,nan,1.078,nan,None
Gaia DR3 5504497161061675648,109.6312404,-50.2199811,10.703,0.801,2.513,4.5402,12.5980,29.30,30.22,0.37,6.445,G0.9,nan,0.01,0.969,nan,Gaia DR3
Gaia DR3 5559774008636747520,108.1376852,-44.3411550,11.057,0.868,3.689,3.5765,12.5996,29.09,31.61,0.34,6.254,G5.9,0.003079,-0.15,0.892,nan,Gaia DR3
Gaia DR3 5556468567444528896,98.3051818,-45.3785901,8.037,0.159,1.845,4.7524,12.5998,29.91,32.96,0.24,6.635,A3.9,0.038110,-0.02,0.887,nan,Gaia DR3
Gaia DR3 5555958424113528960,101.8632944,-44.8126760,20.225,2.732,1.818,2.9862,12.8970,29.65,nan,nan,6.178,M3.6,nan,nan,1.078,nan,None
Gaia DR3 5558050730317859456,106.5608627,-45.8332665,13.712,1.648,0.239,1.7246,12.9181,29.35,27.73,11.15,6.101,K5.7,nan,-0.04,0.989,nan,Gaia DR3
Gaia DR3 5557488050948140032,103.9818810,-47.3892081,19.208,3.110,1.054,0.6372,13.0014,29.65,nan,nan,6.069,M4.4,nan,nan,1.080,nan,None
Gaia DR3 5563122365140128384,102.6796968,-42.5582859,17.379,3.116,1.557,4.7001,13.0765,29.40,nan,nan,6.436,M4.4,nan,nan,1.064,nan,None
Gaia DR3 5560916057620656768,107.4174348,-42.4592044,14.891,2.398,3.921,4.9410,13.1523,28.99,-7.26,2.84,6.550,M2.7,nan,0.32,5.463,nan,Gaia DR3
Gaia DR3 5556969017034559744,99.0046245,-44.2371376,15.052,2.169,1.249,4.8871,13.1649,29.79,5.85,5.27,6.504,M1.5,nan,0.32,1.015,nan,Gaia DR3
Gaia DR3 5508911558511041536,107.6574285,-47.6910329,18.996,3.507,4.489,2.0796,13.1761,29.36,nan,nan,6.107,M5.3,nan,nan,1.587,nan,None
Gaia DR3 5511401849267718784,109.5608612,-45.2984631,11.849,1.028,2.193,3.7513,13.3113,29.03,28.54,0.63,6.234,K1.4,0.001135,0.03,0.953,nan,Gaia DR3
Gaia DR3 5556488908409548288,97.9851726,-45.1820317,15.067,2.358,1.711,5.0368,13.3358,29.92,31.75,7.07,6.601,M2.5,nan,0.05,0.964,nan,Gaia DR3
Gaia DR3 5559798438410285824,108.2205912,-43.8851844,7.253,0.073,0.085,3.9710,13.3663,29.04,nan,nan,6.259,A2.2,0.039948,-0.12,1.936,nan,None
Gaia DR3 5556489114567976576,97.9819781,-45.1740857,15.865,2.701,1.780,5.0421,13.3878,29.92,nan,nan,6.565,M3.5,nan,nan,1.038,nan,None
Gaia DR3 5559986076941849728,108.0779173,-43.8417938,16.084,3.034,0.496,3.9459,13.4913,29.05,nan,nan,6.993,M4.2,nan,nan,1.009,nan,None
Gaia DR3 5556362773809838976,97.5547892,-45.8243429,17.591,3.178,3.941,5.1005,13.5082,29.98,nan,nan,6.627,M4.6,nan,nan,1.048,nan,None
Gaia DR3 5506174053733162752,111.6757809,-48.7892609,9.581,0.624,3.708,4.9650,13.5495,29.04,31.63,0.44,6.468,F5.6,nan,0.01,1.108,nan,Gaia DR3
Gaia DR3 5498838760690702464,103.0036835,-52.0136923,20.323,2.538,3.988,5.1171,13.5652,29.85,nan,nan,6.579,M3.1,nan,nan,1.107,nan,None
Gaia DR3 5562612397904487040,104.8395162,-42.3469662,18.374,3.372,1.910,4.6768,13.7615,29.21,nan,nan,6.879,M5.0,nan,nan,1.005,nan,None
Gaia DR3 5563088933114346112,102.1836332,-42.8340140,12.800,1.494,2.823,4.5657,13.7793,29.47,28.14,2.06,6.907,K5.2,nan,0.00,2.099,0.025,Gaia DR3
Gaia DR3 5509333947070955648,103.2046884,-48.5131901,16.619,2.924,4.637,1.8160,13.8915,29.75,nan,nan,7.206,M3.9,nan,nan,1.029,nan,None
Gaia DR3 5506868670205029888,109.9822702,-48.8525661,17.809,3.190,4.610,3.9527,14.0023,29.21,nan,nan,7.031,M4.6,nan,nan,1.118,nan,None
Gaia DR3 5507915130394590592,104.5185648,-50.8253743,10.512,0.755,3.365,3.8050,14.0469,29.73,31.06,0.33,6.198,F9.4,nan,0.05,1.049,nan,Gaia DR3
Gaia DR3 5558428236465092992,106.4998562,-44.9236992,18.117,3.439,0.560,2.4263,14.1287,29.29,nan,nan,7.186,M5.2,nan,nan,0.967,nan,None
Gaia DR3 5552792659554366976,100.6371876,-45.9623595,12.057,1.087,1.173,3.0232,14.1559,29.80,30.84,0.52,6.122,K1.9,nan,-0.00,0.877,nan,Gaia DR3
Gaia DR3 5556014297341301504,101.6205089,-44.5709229,15.832,0.000,3.121,3.2819,14.3185,29.65,nan,nan,7.130,nan,nan,0.32,1.002,0.029,None
Gaia DR3 5498603984893965824,103.6201846,-52.3222988,14.805,2.102,3.565,5.3489,14.4200,29.81,68.91,2.74,6.495,M1.1,nan,0.33,1.079,nan,Gaia DR3
Gaia DR3 5555522364673523072,97.6384407,-46.5277244,19.433,2.956,4.081,4.8937,14.5527,30.01,nan,nan,6.911,M4.0,0.003824,nan,0.986,nan,None
Gaia DR3 5498790352113650560,103.5114789,-52.3151115,17.440,2.923,1.773,5.3519,14.5616,29.82,nan,nan,6.764,M3.9,nan,nan,1.027,nan,None
Gaia DR3 5562752723075304064,105.8407930,-41.5653609,17.988,3.492,2.271,5.5134,14.5957,29.04,nan,nan,6.628,M5.3,nan,nan,1.000,nan,None
Gaia DR3 5559066880924246144,103.4759215,-44.3386575,20.475,2.822,1.627,2.8283,14.6369,29.49,nan,nan,6.088,M3.7,nan,nan,1.197,nan,None
Gaia DR3 5509585563435304192,105.5429728,-46.7579882,16.744,3.030,0.308,0.6035,14.7005,29.49,nan,nan,7.285,M4.2,nan,nan,0.993,nan,None
Gaia DR3 5505188783937515008,107.4046722,-50.3546445,17.110,2.793,1.626,3.7636,14.7323,29.49,nan,nan,6.158,M3.7,nan,nan,1.000,nan,None
